number of photons = 1000000.000000
bin size = 0.00300 [cm] 
last row is overflow. Ignore.
r [cm] 	 Fsph [1/cm2] 	 Fcyl [1/cm2] 	 Fpla [1/cm2]
0.00150 	 1.813e+04 	 8.276e+01 	 3.457e+00 
0.00450 	 3.884e+03 	 5.458e+01 	 5.239e+00 
0.00750 	 1.399e+03 	 3.286e+01 	 4.503e+00 
0.01050 	 7.223e+02 	 2.315e+01 	 4.172e+00 
0.01350 	 4.297e+02 	 1.777e+01 	 3.880e+00 
0.01650 	 2.785e+02 	 1.379e+01 	 3.651e+00 
0.01950 	 2.065e+02 	 1.186e+01 	 3.495e+00 
0.02250 	 1.492e+02 	 1.032e+01 	 3.344e+00 
0.02550 	 1.187e+02 	 9.354e+00 	 3.188e+00 
0.02850 	 9.575e+01 	 7.934e+00 	 3.111e+00 
0.03150 	 7.611e+01 	 7.350e+00 	 2.949e+00 
0.03450 	 6.548e+01 	 6.581e+00 	 2.879e+00 
0.03750 	 5.451e+01 	 6.155e+00 	 2.762e+00 
0.04050 	 4.633e+01 	 5.469e+00 	 2.753e+00 
0.04350 	 4.155e+01 	 5.138e+00 	 2.628e+00 
0.04650 	 3.603e+01 	 4.796e+00 	 2.587e+00 
0.04950 	 3.078e+01 	 4.310e+00 	 2.547e+00 
0.05250 	 2.790e+01 	 4.075e+00 	 2.433e+00 
0.05550 	 2.400e+01 	 3.903e+00 	 2.370e+00 
0.05850 	 2.207e+01 	 3.692e+00 	 2.378e+00 
0.06150 	 1.952e+01 	 3.438e+00 	 2.288e+00 
0.06450 	 1.810e+01 	 3.372e+00 	 2.275e+00 
0.06750 	 1.599e+01 	 3.054e+00 	 2.235e+00 
0.07050 	 1.541e+01 	 2.932e+00 	 2.147e+00 
0.07350 	 1.328e+01 	 2.816e+00 	 2.091e+00 
0.07650 	 1.237e+01 	 2.652e+00 	 2.096e+00 
0.07950 	 1.159e+01 	 2.578e+00 	 2.038e+00 
0.08250 	 1.113e+01 	 2.480e+00 	 2.026e+00 
0.08550 	 1.017e+01 	 2.380e+00 	 1.920e+00 
0.08850 	 9.205e+00 	 2.275e+00 	 1.988e+00 
0.09150 	 8.510e+00 	 2.153e+00 	 1.887e+00 
0.09450 	 8.142e+00 	 2.097e+00 	 1.885e+00 
0.09750 	 7.738e+00 	 2.001e+00 	 1.873e+00 
0.10050 	 7.120e+00 	 1.962e+00 	 1.819e+00 
0.10350 	 6.631e+00 	 1.889e+00 	 1.823e+00 
0.10650 	 6.172e+00 	 1.794e+00 	 1.764e+00 
0.10950 	 5.774e+00 	 1.749e+00 	 1.717e+00 
0.11250 	 5.638e+00 	 1.695e+00 	 1.722e+00 
0.11550 	 5.307e+00 	 1.677e+00 	 1.650e+00 
0.11850 	 5.174e+00 	 1.569e+00 	 1.663e+00 
0.12150 	 4.807e+00 	 1.538e+00 	 1.671e+00 
0.12450 	 4.525e+00 	 1.510e+00 	 1.606e+00 
0.12750 	 4.332e+00 	 1.427e+00 	 1.625e+00 
0.13050 	 4.120e+00 	 1.368e+00 	 1.583e+00 
0.13350 	 3.925e+00 	 1.370e+00 	 1.533e+00 
0.13650 	 3.766e+00 	 1.305e+00 	 1.523e+00 
0.13950 	 3.575e+00 	 1.324e+00 	 1.509e+00 
0.14250 	 3.434e+00 	 1.288e+00 	 1.507e+00 
0.14550 	 3.198e+00 	 1.253e+00 	 1.516e+00 
0.14850 	 3.198e+00 	 1.195e+00 	 1.496e+00 
0.15150 	 2.911e+00 	 1.177e+00 	 1.482e+00 
0.15450 	 2.825e+00 	 1.142e+00 	 1.465e+00 
0.15750 	 2.689e+00 	 1.112e+00 	 1.428e+00 
0.16050 	 2.663e+00 	 1.064e+00 	 1.402e+00 
0.16350 	 2.635e+00 	 1.067e+00 	 1.403e+00 
0.16650 	 2.442e+00 	 1.027e+00 	 1.413e+00 
0.16950 	 2.317e+00 	 1.009e+00 	 1.399e+00 
0.17250 	 2.263e+00 	 9.912e-01 	 1.362e+00 
0.17550 	 2.175e+00 	 9.522e-01 	 1.304e+00 
0.17850 	 2.089e+00 	 9.555e-01 	 1.298e+00 
0.18150 	 1.985e+00 	 9.476e-01 	 1.301e+00 
0.18450 	 1.949e+00 	 9.385e-01 	 1.253e+00 
0.18750 	 1.905e+00 	 8.604e-01 	 1.260e+00 
0.19050 	 1.804e+00 	 8.555e-01 	 1.271e+00 
0.19350 	 1.729e+00 	 8.562e-01 	 1.281e+00 
0.19650 	 1.675e+00 	 8.553e-01 	 1.206e+00 
0.19950 	 1.675e+00 	 8.145e-01 	 1.231e+00 
0.20250 	 1.622e+00 	 7.980e-01 	 1.231e+00 
0.20550 	 1.557e+00 	 7.833e-01 	 1.211e+00 
0.20850 	 1.530e+00 	 7.962e-01 	 1.205e+00 
0.21150 	 1.448e+00 	 7.753e-01 	 1.197e+00 
0.21450 	 1.373e+00 	 7.296e-01 	 1.207e+00 
0.21750 	 1.365e+00 	 7.383e-01 	 1.170e+00 
0.22050 	 1.339e+00 	 7.403e-01 	 1.179e+00 
0.22350 	 1.225e+00 	 6.824e-01 	 1.140e+00 
0.22650 	 1.218e+00 	 6.474e-01 	 1.136e+00 
0.22950 	 1.215e+00 	 6.946e-01 	 1.089e+00 
0.23250 	 1.143e+00 	 6.702e-01 	 1.101e+00 
0.23550 	 1.145e+00 	 6.526e-01 	 1.089e+00 
0.23850 	 1.085e+00 	 6.377e-01 	 1.095e+00 
0.24150 	 1.105e+00 	 6.311e-01 	 1.068e+00 
0.24450 	 1.010e+00 	 6.015e-01 	 1.075e+00 
0.24750 	 1.021e+00 	 6.148e-01 	 1.085e+00 
0.25050 	 9.592e-01 	 5.919e-01 	 1.050e+00 
0.25350 	 9.473e-01 	 6.088e-01 	 1.032e+00 
0.25650 	 9.305e-01 	 5.917e-01 	 1.005e+00 
0.25950 	 9.418e-01 	 5.743e-01 	 1.010e+00 
0.26250 	 8.831e-01 	 5.687e-01 	 1.024e+00 
0.26550 	 8.723e-01 	 5.405e-01 	 1.020e+00 
0.26850 	 8.845e-01 	 5.339e-01 	 1.001e+00 
0.27150 	 8.550e-01 	 5.342e-01 	 9.863e-01 
0.27450 	 7.952e-01 	 5.114e-01 	 9.770e-01 
0.27750 	 7.881e-01 	 5.311e-01 	 9.527e-01 
0.28050 	 7.370e-01 	 5.125e-01 	 9.493e-01 
0.28350 	 7.399e-01 	 4.996e-01 	 9.347e-01 
0.28650 	 7.119e-01 	 5.013e-01 	 9.533e-01 
0.28950 	 7.276e-01 	 5.012e-01 	 9.237e-01 
0.29250 	 6.880e-01 	 4.736e-01 	 9.200e-01 
0.29550 	 6.735e-01 	 4.553e-01 	 9.367e-01 
0.29850 	 6.636e-01 	 4.672e-01 	 9.097e-01 
0.30150 	 6.469e-01 	 4.478e-01 	 9.190e-01 
0.30450 	 6.282e-01 	 4.697e-01 	 8.683e-01 
0.30750 	 6.275e-01 	 4.501e-01 	 8.787e-01 
0.31050 	 5.948e-01 	 4.355e-01 	 8.790e-01 
0.31350 	 6.038e-01 	 4.364e-01 	 8.553e-01 
0.31650 	 5.855e-01 	 4.338e-01 	 8.633e-01 
